Community ID,Name,List ID,List Name,Number of Lists,Number of Persons,Number of Private Persons,Number of deleted Persons,Number of Persons without Tweets,Number of Tweets,Number of Retweets
209,archaeology,208,archaeologylists,610,126,0,0,0,147053,59248.0
171,java,NaN,NaN,NaN,105,0,0,0,178373,161357.0
577,liberal,312,liberallists,211,105,1,0,1,296044,1897144.0
355,horror,354,horrorlists,1025,119,0,0,0,252770,332518.0
160,astronomy,NaN,NaN,NaN,102,0,0,0,228798,1011715.0
263,physics,262,physicslists,733,129,0,0,0,228798,1011715.0
351,highered,350,higheredlists,612,127,1,0,1,270302,107648.0
441,parenting,440,parentinglists,2821,154,0,0,0,283666,370150.0
417,nature,416,naturelists,995,175,0,0,0,239232,444922.0
100,marketing,NaN,NaN,NaN,118,0,0,2,299269,580118.0
179,surfing,NaN,NaN,NaN,102,0,0,0,182557,274007.0
145,wedding,144,weddinglists,7072,109,0,0,0,274853,153973.0
533,magician,236,magicianlists,225,101,0,0,1,176915,175025.0
167,hospitality,NaN,NaN,NaN,104,1,0,2,238543,169893.0
369,jazz,368,jazzlists,1392,157,1,0,0,183389,112313.0
579,meditation,348,meditationlists,340,101,0,0,0,151923,575643.0
499,piano,282,pianolists,49,101,2,0,2,177101,35661.0
341,wrestling,340,wrestlinglists,2237,104,0,0,1,249743,2168913.0
443,blogs,442,blogslists,1286,195,0,0,0,327411,2785107.0
245,marriage,244,marriagelists,324,125,0,0,0,184198,244726.0
573,lesbian,408,lesbianlists,265,101,7,0,6,187599,729999.0
253,climbing,252,climbinglists,301,120,0,0,0,163012,3951778.0
327,engineering,326,engineeringlists,231,141,0,0,1,126981,188334.0
116,finance,NaN,NaN,NaN,109,1,0,1,304951,1763098.0
421,economics,420,economicslists,684,187,1,0,1,304951,1763098.0
180,tennis,NaN,NaN,NaN,101,0,0,1,214808,800799.0
99,tech,NaN,NaN,NaN,123,0,0,0,293547,2913796.0
353,peace,352,peacelists,207,137,0,0,1,161063,975461.0
261,storage,260,storagelists,923,117,0,0,0,214498,73803.0
233,anthropology,232,anthropologylists,592,113,1,0,1,188433,81584.0
271,banking,270,bankinglists,133,134,0,0,0,224166,88760.0
419,swimming,418,swimminglists,190,113,0,0,0,186187,179821.0
413,management,412,managementlists,452,121,1,0,1,206647,648160.0
181,trading,NaN,NaN,NaN,112,0,0,0,298820,248831.0
307,fantasy,306,fantasylists,396,118,0,0,0,291583,293273.0
435,hockey,434,hockeylists,5064,116,0,0,0,225871,1531407.0
297,islam,296,islamlists,532,132,0,0,0,173346,2133486.0
159,astrology,NaN,NaN,NaN,102,0,0,0,184180,299344.0
281,agriculture,280,agriculturelists,447,144,1,0,1,239611,135074.0
17,dance,16,dancelists,1538,133,0,0,0,232248,3677705.0
143,cycling,142,cyclinglists,4644,118,0,0,0,202841,532484.0
293,climatechange,292,climatechangelists,66,154,0,0,0,211891,358319.0
427,fishing,426,fishinglists,552,139,1,0,1,147901,39863.0
365,humanrights,364,humanrightslists,180,141,0,0,0,274189,2046882.0
251,activism,250,activismlists,283,125,0,0,0,274189,2046882.0
575,justice,224,justicelists,155,101,0,0,0,274189,2046882.0
379,energy,378,energylists,1413,138,0,0,0,266631,263658.0
114,wine,450,winelists,9371,133,1,0,1,294230,128768.0
46,php,45,phplists,1616,111,0,0,0,234904,94701.0
305,cancer,304,cancerlists,1568,129,1,0,1,232184,296953.0
517,html,200,htmllists,28,112,0,0,0,201883,272729.0
397,vegetarian,396,vegetarianlists,458,142,2,0,2,205244,204674.0
323,jokes,322,jokeslists,101,132,0,0,0,215523,7294943.0
31,gardening,30,gardeninglists,1286,130,0,0,0,240686,1416763.0
120,charity,49,charitylists,1222,104,0,0,0,275854,1064372.0
357,philanthropy,356,philanthropylists,791,152,0,0,0,275854,1064372.0
25,history,24,historylists,1307,124,0,0,0,217816,16221073.0
423,magazine,422,magazinelists,3165,155,0,0,2,280350,1973828.0
137,branding,136,brandinglists,3058,112,0,0,1,252184,145767.0
359,racing,358,racinglists,1691,122,0,0,1,272225,796829.0
463,author,462,authorlists,2532,149,0,0,0,297265,1016721.0
104,politics,NaN,NaN,NaN,103,0,0,1,303344,5343066.0
105,news,NaN,NaN,NaN,100,0,0,1,303344,5343066.0
523,innovation,152,innovationlists,17,113,0,0,0,247743,630902.0
174,perl,NaN,NaN,NaN,101,1,0,1,172442,57734.0
178,sailing,NaN,NaN,NaN,98,0,0,1,170465,49035.0
565,drums,226,drumslists,94,101,0,0,1,134789,360252.0
391,university,390,universitylists,294,144,0,0,0,226512,282653.0
103,photography,NaN,NaN,NaN,105,0,0,1,207276,777538.0
172,lawyer,NaN,NaN,NaN,101,1,0,1,288421,113174.0
329,legal,328,legallists,955,120,1,0,1,288421,113174.0
317,jewish,316,jewishlists,548,145,1,0,1,250360,282113.0
106,gaming,470,gaminglists,4647,114,0,0,0,308340,1702701.0
559,dental,192,dentallists,347,101,0,0,0,112709,26357.0
543,composer,342,composerlists,108,101,0,0,1,176787,40003.0
62,linux,61,linuxlists,1694,109,0,0,0,176137,254073.0
403,opensource,402,opensourcelists,403,164,0,0,0,176137,254073.0
405,animation,404,animationlists,596,116,0,0,0,159418,671695.0
6,youtube,5,youtubelists,2635,125,0,0,0,291158,81334696.0
367,insurance,366,insurancelists,562,154,0,0,0,196016,71622.0
257,pharma,256,pharmalists,1656,121,1,0,2,205433,100849.0
291,toys,290,toyslists,399,113,0,0,0,242590,92400.0
541,gambling,308,gamblinglists,172,101,2,0,2,168469,226090.0
27,outdoors,26,outdoorslists,883,115,1,0,2,214478,9103718.0
166,hiking,NaN,NaN,NaN,100,1,0,2,214478,9103718.0
455,developer,454,developerlists,540,206,0,0,0,287342,546034.0
162,basketball,NaN,NaN,NaN,103,0,0,2,264531,3441871.0
118,sustainability,NaN,NaN,NaN,111,0,0,1,296483,766105.0
497,ecology,228,ecologylists,24,101,0,0,1,296483,766105.0
275,homeschool,274,homeschoollists,1377,123,1,0,0,263365,43234.0
571,school,374,schoollists,155,101,1,0,0,263365,43234.0
221,chemistry,220,chemistrylists,248,132,1,0,2,158929,167047.0
44,anime,43,animelists,1017,131,0,0,0,235363,329477.0
337,rugby,336,rugbylists,1412,119,0,0,0,239687,445624.0
325,weather,324,weatherlists,1936,116,0,0,0,245688,774139.0
9,etsy,8,etsylists,3147,111,2,0,2,275184,2475079.0
39,handmade,38,handmadelists,1274,111,2,0,2,275184,2475079.0
387,flash,386,flashlists,2022,137,1,0,1,235589,183747.0
407,skateboarding,406,skateboardinglists,541,166,0,0,0,224732,612943.0
175,python,NaN,NaN,NaN,102,0,0,0,217941,80641.0
170,investor,NaN,NaN,NaN,107,1,0,2,215052,254355.0
395,motorcycle,394,motorcyclelists,479,140,0,0,0,244248,324959.0
303,hunting,302,huntinglists,465,126,0,0,1,190578,3570016.0
207,poverty,206,povertylists,161,130,0,0,0,177175,327819.0
189,literacy,188,literacylists,312,130,0,0,0,189936,135816.0
48,college,47,collegelists,681,150,0,0,0,241449,666308.0
555,democrat,266,democratlists,73,101,0,0,1,103855,795081.0
109,advertising,NaN,NaN,NaN,110,1,0,0,230055,489233.0
319,romance,318,romancelists,238,114,1,0,1,312492,79169.0
86,theatre,85,theatrelists,2579,117,0,0,0,238593,297858.0
311,theater,310,theaterlists,765,116,0,0,0,238593,297858.0
333,newspaper,332,newspaperlists,179,164,0,0,0,319821,1326829.0
399,skiing,398,skiinglists,690,129,0,0,0,204881,149426.0
101,sport,NaN,NaN,NaN,101,0,0,0,278675,4601722.0
111,football,NaN,NaN,NaN,99,0,0,0,278675,4601722.0
537,tvshows,392,tvshowslists,90,107,0,0,0,213645,4515848.0
491,drama,238,dramalists,16,101,0,0,0,213645,4515848.0
112,actor,458,actorlists,1826,124,0,0,0,213645,4515848.0
567,hollywood,272,hollywoodlists,95,101,0,0,0,213645,4515848.0
141,mac,140,maclists,1124,142,0,0,1,235579,1499523.0
445,iphone,444,iphonelists,3120,159,0,0,1,235579,1499523.0
176,religion,NaN,NaN,NaN,105,1,0,1,205980,410333.0
158,airlines,NaN,NaN,NaN,99,2,0,2,221613,245827.0
339,aviation,338,aviationlists,1574,119,2,0,2,221613,245827.0
389,construction,388,constructionlists,759,144,0,0,2,191710,77886.0
457,publicrelations,456,publicrelationslists,2198,112,1,0,1,274142,123904.0
439,nutrition,438,nutritionlists,939,152,0,0,0,216964,473047.0
437,philosophy,436,philosophylists,235,151,5,0,5,167406,971072.0
431,psychology,430,psychologylists,1043,143,0,0,0,211695,278180.0
561,mentalhealth,288,mentalhealthlists,296,101,0,0,0,211695,278180.0
553,mathematics,230,mathematicslists,121,102,3,0,3,204020,220514.0
121,architecture,97,architecturelists,4346,130,0,0,0,207683,347028.0
557,documentary,294,documentarylists,194,108,0,0,0,153986,1151165.0
371,career,370,careerlists,2276,153,0,0,0,298984,215526.0
539,employment,298,employmentlists,156,101,0,0,0,298984,215526.0
187,linguistics,186,linguisticslists,315,133,1,0,1,184126,150728.0
164,dating,NaN,NaN,NaN,101,0,0,1,256625,361305.0
545,biology,242,biologylists,99,102,2,0,2,166759,172553.0
217,filmfestival,216,filmfestivallists,336,149,1,0,1,133355,2498630.0
279,genealogy,278,genealogylists,1165,113,1,0,1,206995,44749.0
211,database,210,databaselists,67,142,0,0,0,183001,101166.0
219,sociology,218,sociologylists,307,121,0,0,1,162078,107252.0
247,nursing,246,nursinglists,531,123,0,0,1,170160,58284.0
535,hacking,240,hackinglists,51,108,1,0,1,179800,727891.0
511,realitytv,286,realitytvlists,105,107,1,0,1,258596,2940468.0
177,ruby,NaN,NaN,NaN,105,1,0,1,254829,192960.0
265,pregnancy,264,pregnancylists,224,147,2,0,7,146941,59670.0
13,poker,12,pokerlists,7753,104,0,0,0,212568,11286345.0
255,ipad,254,ipadlists,123,139,0,0,0,253744,283746.0
531,geography,182,geographylists,106,101,2,0,3,160245,463616.0
161,automotive,NaN,NaN,NaN,101,0,0,1,265833,356181.0
107,comedy,NaN,NaN,NaN,111,0,0,0,245498,4795352.0
467,funny,466,funnylists,1576,190,0,0,0,245498,4795352.0
165,healthcare,NaN,NaN,NaN,107,0,0,1,276022,547413.0
411,medicine,410,medicinelists,584,170,0,0,1,276022,547413.0
163,ceo,NaN,NaN,NaN,113,0,0,0,237595,1967435.0
108,food,NaN,NaN,NaN,113,0,0,0,274391,881778.0
361,chef,360,cheflists,1407,164,0,0,0,274391,881778.0
119,publishing,55,publishinglists,3784,111,0,0,1,306879,840410.0
433,literature,432,literaturelists,228,175,0,0,1,306879,840410.0
285,buddhism,284,buddhismlists,907,156,1,0,1,196840,747481.0
385,exercise,384,exerciselists,342,105,0,0,0,267096,937255.0
465,fitness,464,fitnesslists,4229,139,0,0,0,267096,937255.0
72,baseball,71,baseballlists,4418,123,0,0,0,273824,1426934.0
461,writing,460,writinglists,2947,159,0,0,0,235953,514880.0
315,multimedia,314,multimedialists,184,124,0,0,0,167281,244741.0
415,director,414,directorlists,296,204,2,0,2,217465,1740953.0
157,accounting,NaN,NaN,NaN,101,0,0,0,184751,48814.0
117,golf,NaN,NaN,NaN,101,0,0,0,197591,460401.0
551,housing,222,housinglists,112,101,0,0,0,121955,130859.0
98,musician,NaN,NaN,NaN,104,0,0,0,210040,7263991.0
453,singer,452,singerlists,549,136,0,0,0,210040,7263991.0
110,realestate,NaN,NaN,NaN,102,0,0,0,246785,115031.0
259,reporter,258,reporterlists,184,153,0,0,0,300182,1697507.0
213,neuroscience,212,neurosciencelists,396,124,0,0,0,150546,140585.0
33,rapper,32,rapperlists,232,118,0,0,0,290506,235776611.0
94,beer,93,beerlists,107,129,0,0,0,219177,154891.0
115,beauty,448,beautylists,3963,121,0,0,0,314631,1776427.0
102,fashion,472,fashionlists,18707,113,0,0,0,314631,1776427.0
469,shopping,468,shoppinglists,3109,162,0,0,0,314631,1776427.0
149,comics,148,comicslists,6106,130,0,0,0,269178,700584.0
113,radio,NaN,NaN,NaN,102,0,0,1,288608,1158732.0
155,running,154,runninglists,2090,128,1,0,1,206675,442581.0
4,yoga,3,yogalists,2782,124,0,0,0,205034,4532090.0
19,cinema,18,cinemalists,742,122,0,0,0,249104,48473241.0
581,screenwriter,362,screenwriterlists,278,105,1,0,1,224537,261193.0
401,recipes,400,recipeslists,1029,137,0,0,0,266763,152717.0
447,cooking,446,cookinglists,2177,127,0,0,0,266763,152717.0
21,poetry,20,poetrylists,846,154,2,0,1,217996,3540744.0
529,teaching,320,teachinglists,87,102,1,0,1,240064,554581.0
519,army,214,armylists,27,101,0,0,0,279455,590287.0
373,military,372,militarylists,1870,127,0,0,0,279455,590287.0
563,veteran,194,veteranlists,182,101,0,0,0,279455,590287.0
425,children,424,childrenlists,493,125,0,0,0,197113,162781.0
70,restaurant,69,restaurantlists,871,127,0,0,0,240103,263220.0
505,dining,276,dininglists,68,101,0,0,0,240103,263220.0
123,mobile,122,mobilelists,2053,118,0,0,0,271109,715858.0
525,smartphone,196,smartphonelists,53,101,0,0,0,271109,715858.0
82,guitar,81,guitarlists,822,134,0,0,0,149506,347341.0
569,baking,330,bakinglists,164,110,2,0,1,216930,165396.0
